Price,Adj Close,Close,High,Low,Open,Volume
Ticker,^GSPTSE,^GSPTSE,^GSPTSE,^GSPTSE,^GSPTSE,^GSPTSE
Date,,,,,,
2015-08-09,14277.900390625,14277.900390625,14471.099609375,14182.5,14346.7001953125,925824200
2015-08-16,13473.7001953125,13473.7001953125,14267.2001953125,13468.7001953125,14267.2001953125,980264600
2015-08-23,13865.099609375,13865.099609375,13866.2998046875,12705.2001953125,13351.0,1277470000
2015-08-30,13478.2998046875,13478.2998046875,13888.2001953125,13414.599609375,13832.900390625,1016767200
2015-09-06,13461.5,13461.5,13766.7001953125,13404.599609375,13636.099609375,751573900
2015-09-13,13646.900390625,13646.900390625,13876.0,13353.2998046875,13460.0,1401737800
2015-09-20,13378.599609375,13378.599609375,13847.400390625,13237.400390625,13701.7001953125,932861900
2015-09-27,13339.7001953125,13339.7001953125,13379.900390625,12964.099609375,13295.900390625,1071602800
2015-10-04,13964.400390625,13964.400390625,14053.2001953125,13416.2998046875,13416.2998046875,1444005900
2015-10-11,13838.099609375,13838.099609375,13958.5,13761.2001953125,13927.2001953125,827751800
2015-10-18,13953.7001953125,13953.7001953125,14014.7998046875,13626.099609375,13777.0,959433200
2015-10-25,13529.2001953125,13529.2001953125,13947.7001953125,13519.5,13940.5,1165868600
2015-11-01,13553.2998046875,13553.2998046875,13790.099609375,13481.5,13531.0,1049354500
2015-11-08,13075.400390625,13075.400390625,13556.599609375,13030.5,13556.599609375,1003671800
2015-11-15,13433.5,13433.5,13514.7998046875,13078.7998046875,13080.7001953125,937132000
2015-11-22,13368.2001953125,13368.2001953125,13508.099609375,13353.5,13417.599609375,724855000
2015-11-29,13358.7998046875,13358.7998046875,13653.7001953125,13268.400390625,13390.599609375,1161388800
2015-12-06,12790.0,12790.0,13316.2001953125,12771.2001953125,13316.2001953125,1132239100
2015-12-13,13024.2998046875,13024.2998046875,13182.7001953125,12617.7001953125,12776.2998046875,1552210600
2015-12-20,13309.7998046875,13309.7998046875,13344.2001953125,12950.5,13051.5,619113400
2015-12-27,13010.0,13010.0,13315.2001953125,12988.0,13279.5,329014600
2016-01-03,12445.5,12445.5,12954.900390625,12431.900390625,12920.599609375,1107985900
2016-01-10,12073.5,12073.5,12499.5,11950.900390625,12464.5,1291867800
2016-01-17,12389.599609375,12389.599609375,12389.599609375,11531.2001953125,12025.599609375,1349042300
2016-01-24,12822.099609375,12822.099609375,12822.099609375,12130.2998046875,12377.5,1380748400
2016-01-31,12764.0,12764.0,12826.7001953125,12320.400390625,12766.2001953125,1247916700
2016-02-07,12381.2001953125,12381.2001953125,12691.099609375,11985.7001953125,12691.099609375,1480137200
2016-02-14,12813.400390625,12813.400390625,12947.2998046875,12373.2001953125,12431.2998046875,1181085400
2016-02-21,12797.7998046875,12797.7998046875,12984.7001953125,12506.099609375,12888.7001953125,1345242500
2016-02-28,13212.5,13212.5,13281.7998046875,12784.7998046875,12820.099609375,1617728900
2016-03-06,13522.0,13522.0,13543.2998046875,13235.2998046875,13235.2998046875,1488747800
2016-03-13,13497.099609375,13497.099609375,13685.5,13284.2001953125,13520.099609375,1739420600
2016-03-20,13358.099609375,13358.099609375,13567.400390625,13255.5,13496.0,813786900
2016-03-27,13440.400390625,13440.400390625,13575.0,13270.2001953125,13369.2998046875,960419800
2016-04-03,13396.7001953125,13396.7001953125,13452.900390625,13217.2001953125,13450.0,987704500
2016-04-10,13637.2001953125,13637.2001953125,13703.599609375,13422.099609375,13422.099609375,1170109700
2016-04-17,13874.0,13874.0,13971.7998046875,13548.7998046875,13595.599609375,1274752100
2016-04-24,13951.5,13951.5,13972.599609375,13756.0,13861.099609375,1305247200
2016-05-01,13701.5,13701.5,13963.900390625,13570.0,13963.900390625,1216502100
2016-05-08,13748.599609375,13748.599609375,13882.5,13535.5,13663.599609375,1125685700
2016-05-15,13919.599609375,13919.599609375,13981.2001953125,13690.2001953125,13807.2001953125,1158531800
2016-05-22,14105.2001953125,14105.2001953125,14143.5,13920.2998046875,13927.7001953125,821865000
2016-05-29,14226.7998046875,14226.7998046875,14240.2998046875,13959.599609375,14119.599609375,1001858100
2016-06-05,14037.5,14037.5,14450.900390625,14003.7001953125,14261.2001953125,1137396600
2016-06-12,13901.7998046875,13901.7998046875,14078.599609375,13814.2001953125,14035.400390625,1517292100
2016-06-19,13891.900390625,13891.900390625,14150.400390625,13790.7001953125,13915.2998046875,1007123400
2016-06-26,14064.5,14064.5,14106.7998046875,13609.599609375,13856.900390625,991148400
2016-07-03,14259.7998046875,14259.7998046875,14327.7998046875,14080.2001953125,14200.099609375,997801700
2016-07-10,14482.400390625,14482.400390625,14558.099609375,14277.2001953125,14277.2001953125,1211684500
2016-07-17,14600.7001953125,14600.7001953125,14605.2998046875,14482.2001953125,14485.900390625,764607200
2016-07-24,14582.7001953125,14582.7001953125,14609.0,14460.2001953125,14590.900390625,898666800
2016-07-31,14648.7998046875,14648.7998046875,14651.400390625,14428.2001953125,14555.2001953125,753142200
2016-08-07,14747.5,14747.5,14855.7001953125,14663.5,14663.5,912148000
2016-08-14,14687.5,14687.5,14803.0,14609.7001953125,14770.599609375,756905300
2016-08-21,14639.900390625,14639.900390625,14796.599609375,14579.599609375,14642.400390625,827603500
2016-08-28,14795.7001953125,14795.7001953125,14841.400390625,14543.2001953125,14624.7998046875,950805800
2016-09-04,14540.0,14540.0,14823.0,14502.900390625,14821.599609375,799066800
2016-09-11,14450.7001953125,14450.7001953125,14628.2998046875,14319.099609375,14470.7001953125,1265262200
2016-09-18,14697.900390625,14697.900390625,14841.2001953125,14472.599609375,14512.2001953125,923204600
2016-09-25,14725.900390625,14725.900390625,14821.7998046875,14518.400390625,14653.0,1008009900
2016-10-02,14566.2998046875,14566.2998046875,14736.7998046875,14468.0,14722.5,1064458700
2016-10-09,14585.0,14585.0,14726.5,14472.7998046875,14594.0,755795300
2016-10-16,14939.0,14939.0,14958.900390625,14572.900390625,14586.7998046875,919649600
2016-10-23,14785.2998046875,14785.2998046875,14963.599609375,14773.099609375,14962.400390625,1023586000
2016-10-30,14509.2998046875,14509.2998046875,14850.2998046875,14497.599609375,14781.400390625,1084056200
2016-11-06,14555.400390625,14555.400390625,14852.7998046875,14481.599609375,14596.2001953125,1274044500
2016-11-13,14864.0,14864.0,14872.2001953125,14509.5,14570.400390625,1216864500
2016-11-20,15075.400390625,15075.400390625,15126.5,14928.900390625,14928.900390625,847379100
2016-11-27,15052.5,15052.5,15149.5,14941.2998046875,15064.2001953125,1232016100
2016-12-04,15312.2001953125,15312.2001953125,15347.7001953125,15075.2001953125,15081.0,1065819800
2016-12-11,15252.2001953125,15252.2001953125,15414.599609375,15176.0,15340.900390625,1665554800
2016-12-18,15328.2001953125,15328.2001953125,15363.400390625,15254.0,15270.400390625,814130800
2016-12-25,15287.599609375,15287.599609375,15432.599609375,15276.7998046875,15375.099609375,444795000
2017-01-01,15496.099609375,15496.099609375,15621.400390625,15340.0,15366.7998046875,862823300
2017-01-08,15497.2998046875,15497.2998046875,15513.900390625,15380.099609375,15475.5,1081570900
2017-01-15,15547.900390625,15547.900390625,15573.2001953125,15366.2001953125,15494.900390625,905930100
2017-01-22,15575.7998046875,15575.7998046875,15674.2998046875,15421.2001953125,15531.0,1031234300
2017-01-29,15476.400390625,15476.400390625,15544.099609375,15313.0,15544.099609375,1070804800
2017-02-05,15729.099609375,15729.099609375,15736.599609375,15414.099609375,15488.900390625,1068592400
2017-02-12,15838.599609375,15838.599609375,15865.5,15713.5,15750.7001953125,1028855700
2017-02-19,15533.5,15533.5,15943.099609375,15513.7998046875,15873.7998046875,945306700
2017-02-26,15608.5,15608.5,15631.400390625,15396.2998046875,15544.2998046875,1458012700
2017-03-05,15506.7001953125,15506.7001953125,15645.599609375,15422.099609375,15570.7001953125,1092970900
2017-03-12,15490.5,15490.5,15623.2998046875,15370.900390625,15495.5,1423752500
2017-03-19,15442.7001953125,15442.7001953125,15519.5,15241.599609375,15490.7998046875,987413100
2017-03-26,15547.7998046875,15547.7998046875,15664.099609375,15332.099609375,15368.7001953125,1015388800
2017-04-02,15667.099609375,15667.099609375,15758.400390625,15457.7998046875,15587.0,1011024200
2017-04-09,15535.5,15535.5,15757.7998046875,15529.0,15657.2998046875,773422300
2017-04-16,15614.5,15614.5,15687.7998046875,15532.7998046875,15562.2998046875,965652400
2017-04-23,15586.099609375,15586.099609375,15792.599609375,15427.2998046875,15693.900390625,1183857400
2017-04-30,15582.0,15582.0,15656.0,15367.400390625,15601.7001953125,1186453300
2017-05-07,15537.900390625,15537.900390625,15672.2001953125,15505.099609375,15624.900390625,1111041100
2017-05-14,15458.5,15458.5,15700.599609375,15164.7001953125,15625.7001953125,886370100
2017-05-21,15416.900390625,15416.900390625,15538.7998046875,15326.900390625,15521.099609375,773586900
